Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Label
58.67,4.46,3.04,6,43,561,0,1,1,0,2,2,8,11,1
48.08,6.04,0.04,0,0,2691,1,0,0,0,2,2,4,4,1
41.17,1.335,0.165,0,168,1,1,0,0,0,2,2,4,2,0
32.75,1.5,5.5,3,0,1,1,1,1,1,2,2,8,13,1
22.5,0.125,0.125,0,200,71,1,0,0,0,2,1,4,4,0
39.58,13.915,8.625,6,70,1,1,1,1,1,2,2,4,9,1
63.33,0.54,0.585,3,180,1,1,1,1,1,2,2,4,8,0
24.5,0.5,1.5,0,280,825,0,1,0,0,2,2,8,11,1
30.42,1.375,0.04,3,0,34,0,0,1,0,2,2,8,9,0
29.42,1.25,1.75,0,200,1,1,0,0,0,2,2,4,9,0
36.5,4.25,3.5,0,454,51,1,0,0,0,2,2,4,11,0
29.83,3.5,0.165,0,216,1,1,0,0,0,2,2,4,8,0
24.75,13.665,1.5,0,280,2,0,0,0,0,2,2,8,11,0
47.0,13.0,5.165,9,0,1,0,1,1,1,2,2,5,3,1
58.33,10.0,4.0,14,0,1603,0,1,1,0,2,2,4,11,1
21.0,3.0,1.085,8,160,2,1,1,1,1,2,1,4,2,1
22.25,1.25,3.25,0,280,1,0,0,0,0,2,1,1,1,0
16.5,1.25,0.25,1,108,99,0,0,1,0,2,2,4,11,0
47.42,8.0,6.5,6,375,51101,0,1,1,0,2,2,5,10,1
45.17,1.5,2.5,0,140,1,1,1,0,1,2,2,4,8,0
19.17,0.0,0.0,0,500,2,1,0,0,1,1,1,5,7,1
23.08,2.5,0.085,0,100,4209,1,0,0,1,2,2,1,1,0
41.17,4.04,7.0,8,320,1,1,1,1,0,2,2,8,13,1
17.25,3.0,0.04,0,160,41,1,0,0,1,2,2,4,4,0
18.75,7.5,2.71,5,184,26727,0,1,1,0,2,2,4,11,1
40.92,0.5,0.5,0,130,1,1,0,0,1,2,1,4,7,0
33.08,4.625,1.625,2,0,1,0,1,1,0,2,2,8,11,1
22.42,11.25,0.75,4,0,322,0,1,1,0,2,1,8,14,1
80.25,5.5,0.54,0,0,341,1,1,0,0,2,2,4,8,0
34.75,15.0,5.375,9,0,135,1,1,1,1,2,2,7,12,1
33.67,1.25,1.165,0,120,1,1,0,0,0,2,2,4,9,0
40.83,10.0,1.75,0,29,838,0,1,0,0,2,2,8,11,1
25.08,2.54,0.25,0,370,1,0,1,0,1,2,1,4,6,1
36.33,2.125,0.085,1,50,1188,1,1,1,0,2,1,4,9,1
57.08,0.335,1.0,0,252,2198,0,1,0,1,2,2,5,3,0
48.25,25.085,1.75,3,120,15,1,1,1,0,2,2,4,9,1
18.33,1.21,0.0,0,100,1,1,0,0,0,2,1,2,10,0
44.25,0.5,10.75,0,400,1,1,1,0,0,1,2,4,7,0
31.25,1.125,0.0,1,96,20,1,0,1,0,2,2,1,1,0
38.42,0.705,0.375,2,225,501,1,0,1,0,2,2,4,8,0
32.75,2.335,5.75,0,292,1,1,0,0,1,2,2,8,2,0
19.67,0.21,0.29,11,80,100,0,1,1,0,2,2,8,11,1
38.58,5.0,13.5,0,980,1,0,1,0,1,2,2,4,13,0
24.5,12.75,4.75,2,73,445,0,1,1,0,2,2,5,8,1
22.08,11.0,0.665,0,100,1,1,1,0,0,2,2,4,13,1
23.25,4.0,0.25,0,160,1,1,1,0,1,2,2,5,8,1
36.0,1.0,2.0,11,0,457,0,1,1,0,2,2,4,8,1
36.75,5.125,5.0,0,0,4001,0,1,0,1,2,2,4,10,1
31.57,0.5,0.835,0,320,1,1,1,0,1,1,2,5,8,0
16.0,3.125,0.085,1,0,7,1,0,1,0,2,2,4,9,0
51.58,15.0,8.5,9,0,1,1,1,1,0,2,2,4,8,1
33.58,2.75,4.25,6,204,1,1,1,1,0,2,2,4,7,1
17.08,3.29,0.335,0,140,3,1,0,0,1,2,2,4,3,0
38.58,3.335,4.0,14,383,1345,1,1,1,0,2,2,4,9,1
73.42,17.75,0.0,0,0,1,1,1,0,1,2,2,1,1,1
19.17,8.585,0.75,7,96,1,0,1,1,0,2,2,8,13,1
23.25,12.625,0.125,2,0,5553,1,0,1,0,2,2,4,8,0
31.57,11.25,0.0,0,184,5201,0,0,0,0,2,2,1,1,0
32.08,4.0,1.5,0,120,1,1,0,0,1,2,1,4,13,0
22.5,11.0,3.0,0,268,1,0,1,0,1,2,1,4,11,0
44.33,0.5,5.0,0,320,1,1,1,0,1,2,2,8,3,1
17.58,9.0,1.375,0,0,1,0,1,0,1,2,2,4,6,1
65.17,14.0,0.0,11,0,1401,0,1,1,1,2,2,1,1,1
48.58,6.5,6.0,0,350,1,1,1,0,1,2,2,8,11,1
23.58,11.5,3.0,0,20,17,0,0,0,1,2,1,8,4,0
48.17,7.625,15.5,12,0,791,1,1,1,0,2,2,8,9,1
60.58,16.5,11.0,0,21,10562,0,1,0,1,2,2,4,11,1
27.58,2.04,2.0,3,370,561,1,1,1,1,2,1,4,6,1
28.67,1.04,2.5,5,300,1431,0,1,1,1,2,2,4,8,1
57.42,8.5,7.0,3,0,1,1,1,1,0,2,2,8,10,1
34.83,2.5,3.0,0,200,1,1,0,0,0,1,1,4,9,0
45.83,10.5,5.0,7,0,1,0,1,1,1,2,2,4,11,1
22.75,11.5,0.415,0,0,1,1,0,0,0,2,2,4,3,0
